Right Ascension,Declination,Gaia ID,unWISE ID,Parallax,Parallax Error,Proper Motion - Right Ascension,Proper Motion - Right Ascension Error,Proper Motion - Declination,Proper Motion - Declination Error,Parallax Significance,Proper Motion Significance,Galactic E(B-V) Reddening,Number of Observations for G-Band Photometry,Gaia G-Band Mean Magnitude,Gaia BP-Band Mean Magnitude,Gaia RP-Band Mean Magnitude,unWISE W1 Band Magnitude,unWISE W2 Band Magnitude,BP-G Color,BP-RP Color,G-RP Color,G-W1 Color,Gaia-unWISE Separation,W1-W2 Color,G-Band Variation,BP/RP Excess Factor,Astronomic Excess Noise,Goodness-of-fit,"Gaia Sources Within 1"" Radius","Gaia Sources Within 2"" Radius","Gaia Sources Within 4"" Radius",Gaia Sources Within 8' Radius,"Gaia Sources Within 16"" Radius","Gaia Sources Within 32"" Radius",Photometric Redshift Predicted,AGN Probability,Number of Sectors
66.61184919,-57.72395804,4775250471983314048,b'0664m576o0015182',-0.103355589,0.071363693,0.437084269,0.142123952,0.2045469,0.159825099,1.448293722,3.331044211,0.015014,209,17.11918466,17.37920163,16.61016675,13.6480751,12.50080967,0.260016972,0.769034852,0.50901791,3.471109554,0.052612492,1.147265434,0.053925689,1.257879972,0.062474334,0.259709001,1,1,1,1,1,1,1.493819346,1,6
55.8355359,-64.71556515,4672915832410118016,b'0559m652o0026927',-0.19819842,0.090931158,-0.19544335,0.167229913,0.019327126,0.194900768,2.179653539,1.172909907,0.059723999,450,17.12802175,17.23821861,16.33779302,13.21809864,12.42080212,0.110196855,0.900425601,0.790228731,3.909923114,0.126664975,0.797296524,0.330541543,1.549319983,0.226913202,2.097239971,1,1,1,1,1,1,0.445379996,0.98,6
122.7633634,-75.50772856,5213694473158423552,b'1219m758o0028119',0.041294135,0.07142158,0.028887643,0.128704355,0.31891629,0.1925325,0.57817448,1.671565876,0.141841993,255,17.13665608,17.41845148,16.58586205,12.84165192,12.03860474,0.281795402,0.832589519,0.550794028,4.295004161,0.093167244,0.80304718,0.046894372,1.282119989,0,0.76414001,1,1,1,2,4,7,1.007805794,1,6
123.3545851,-76.26307505,5210518331960859392,b'1219m758o0006574',0.063083258,0.104622927,0.079334177,0.190960268,0.210614695,0.198793978,0.60295826,1.138005972,0.135493994,228,17.16607583,17.1358683,16.61063917,12.7148447,11.78557777,-0.030207521,0.525228422,0.555436658,4.451231122,0.052233915,0.92926693,0.097296802,1.455139995,0.341873665,2.476959944,1,1,1,1,1,5,0.239374526,1,6
110.657911,-55.22355009,5490496254870968704,b'1097m546o0044400',0.118709592,0.093260696,0.208429228,0.189847019,-0.054390074,0.203872822,1.272879115,1.129829268,0.145512,210,17.18287437,17.24045518,16.84266699,14.52182007,13.36525154,0.057580807,0.397788217,0.340207381,2.661054304,0.121670261,1.156568527,0.037309161,1.262480021,0.168564259,2.240410089,1,1,1,2,3,9,1.823258541,0.99,6
109.3855153,-55.60870358,5490094589529105280,b'1093m561o0034118',0.137710569,0.093132065,-0.092926755,0.206358367,-0.255294973,0.213573212,1.478659035,1.277360549,0.125433996,214,17.19338792,17.27182733,16.92122366,13.80608273,12.68502331,0.078439409,0.350602665,0.272164255,3.387305191,0.071264338,1.121059418,0.053857419,1.213549972,0.311294571,3.991660118,1,1,1,3,4,7,0.895586147,1,6
62.26566807,-60.80092863,4679957822132274944,b'0630m606o0013140',-0.000678794,0.080082041,-0.058564744,0.134005128,-0.251394336,0.151066463,0.00847623,1.720560752,0.018895,455,17.20113935,17.17400624,16.73560654,13.19683456,12.20760155,-0.02713311,0.43839909,0.465532804,4.004304782,0.029065081,0.989233017,0.097977126,1.403139949,0.24633046,3.161999941,1,1,1,1,1,2,0.327532791,1,6
126.9966606,-76.18393288,5210569390532063104,b'1277m758o0008813',0.01080713,0.082476777,0.495569805,0.135809499,-0.298004235,0.16646275,0.131032398,4.064495548,0.163334996,257,17.21197271,17.19900276,16.7139118,13.27006531,12.35479832,-0.012969954,0.485090955,0.498060917,3.941907406,0.00067563,0.915266991,0.121588991,1.403759956,0,0.879037976,1,1,1,1,2,5,0.28924311,1,6
99.12916618,-52.67147148,5501570909646224128,b'0986m531o0043953',-0.054881596,0.084631719,-0.184892324,0.195878156,-0.075940178,0.210886862,0.648475504,1.01027069,0.065439999,211,17.29838558,17.47988247,16.8247688,13.79696655,12.49387264,0.181496889,0.655112657,0.473616781,3.501419029,0.141829926,1.30309391,0.024673365,1.27741003,0,1.554849982,1,1,1,1,2,6,1.460507719,1,6
70.64922551,-56.17480876,4774933228518804864,b'0719m561o0014325',-0.106729287,0.07506524,0.07756995,0.14584003,0.010896025,0.219934375,1.421820355,0.534186113,0.00785,236,17.29857779,17.40875593,16.9399914,13.85554504,12.39528561,0.110178147,0.468764547,0.358586385,3.443032742,0.173559491,1.460259438,0.043823693,1.254230022,0,-0.463739991,1,1,1,1,1,1,1.246359418,1,6
